# Period        : 0.649472 days
# IsPeriodic    : True
# Normalization : <g_mag>=0
# Spectrum      : "Flat"; or filename
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
 0.354  1.136  0.035 -0.188 -0.257 -0.265 -0.265
 0.356  1.137  0.036 -0.187 -0.256 -0.265 -0.265
 0.358  1.138  0.037 -0.186 -0.255 -0.264 -0.264
 0.360  1.139  0.038 -0.185 -0.255 -0.264 -0.264
 0.362  1.140  0.039 -0.185 -0.254 -0.263 -0.263
 0.364  1.142  0.040 -0.184 -0.253 -0.263 -0.263
 0.366  1.143  0.041 -0.183 -0.252 -0.263 -0.263
 0.368  1.144  0.042 -0.183 -0.252 -0.262 -0.262
 0.370  1.145  0.043 -0.182 -0.251 -0.262 -0.262
 0.372  1.146  0.044 -0.181 -0.250 -0.261 -0.261
 0.374  1.147  0.045 -0.180 -0.249 -0.261 -0.261
 0.376  1.148  0.046 -0.179 -0.249 -0.261 -0.261
 0.378  1.149  0.047 -0.179 -0.248 -0.260 -0.260
 0.380  1.150  0.048 -0.178 -0.247 -0.260 -0.260
 0.382  1.151  0.049 -0.177 -0.247 -0.259 -0.259
 0.384  1.153  0.050 -0.176 -0.246 -0.259 -0.259
 0.386  1.153  0.051 -0.175 -0.245 -0.259 -0.259
 0.388  1.154  0.052 -0.175 -0.245 -0.258 -0.258
 0.390  1.156  0.053 -0.174 -0.244 -0.258 -0.258
 0.392  1.156  0.054 -0.173 -0.244 -0.257 -0.257
 0.394  1.157  0.055 -0.172 -0.243 -0.257 -0.257
 0.396  1.158  0.056 -0.171 -0.243 -0.256 -0.256
 0.398  1.159  0.058 -0.171 -0.242 -0.256 -0.256
 0.400  1.160  0.059 -0.170 -0.242 -0.256 -0.256
 0.402  1.161  0.060 -0.169 -0.241 -0.255 -0.255
 0.404  1.162  0.061 -0.168 -0.240 -0.255 -0.255
 0.406  1.163  0.062 -0.167 -0.240 -0.254 -0.254
 0.408  1.164  0.063 -0.166 -0.240 -0.254 -0.254
 0.410  1.164  0.064 -0.166 -0.239 -0.253 -0.253
 0.412  1.165  0.065 -0.165 -0.239 -0.253 -0.253
 0.414  1.166  0.067 -0.164 -0.238 -0.252 -0.252
 0.416  1.167  0.068 -0.163 -0.237 -0.252 -0.252
 0.418  1.168  0.069 -0.162 -0.237 -0.251 -0.251
 0.420  1.169  0.070 -0.161 -0.237 -0.251 -0.251
 0.422  1.169  0.071 -0.160 -0.236 -0.250 -0.250
 0.424  1.170  0.072 -0.160 -0.236 -0.250 -0.250
 0.426  1.171  0.074 -0.159 -0.235 -0.249 -0.249
 0.428  1.172  0.075 -0.158 -0.234 -0.249 -0.249
 0.430  1.172  0.076 -0.157 -0.234 -0.248 -0.248
 0.432  1.173  0.077 -0.156 -0.233 -0.248 -0.248
 0.434  1.174  0.079 -0.155 -0.233 -0.247 -0.247
 0.436  1.174  0.080 -0.155 -0.233 -0.247 -0.247
 0.438  1.175  0.081 -0.154 -0.232 -0.246 -0.246
 0.440  1.176  0.082 -0.153 -0.231 -0.246 -0.246
 0.442  1.177  0.083 -0.152 -0.231 -0.245 -0.245
 0.444  1.177  0.084 -0.151 -0.230 -0.245 -0.245
 0.446  1.178  0.085 -0.150 -0.230 -0.244 -0.244
 0.448  1.179  0.087 -0.150 -0.229 -0.243 -0.243
 0.450  1.180  0.088 -0.149 -0.229 -0.243 -0.243
 0.452  1.180  0.089 -0.148 -0.228 -0.242 -0.242
 0.454  1.181  0.090 -0.147 -0.228 -0.242 -0.242
 0.456  1.182  0.091 -0.147 -0.227 -0.241 -0.241
 0.458  1.183  0.092 -0.146 -0.227 -0.241 -0.241
 0.460  1.183  0.093 -0.146 -0.226 -0.240 -0.240
 0.462  1.184  0.094 -0.145 -0.226 -0.240 -0.240
 0.464  1.185  0.095 -0.144 -0.225 -0.239 -0.239
 0.466  1.186  0.096 -0.144 -0.224 -0.239 -0.239
 0.468  1.187  0.097 -0.143 -0.224 -0.239 -0.239
 0.470  1.188  0.097 -0.142 -0.223 -0.238 -0.238
 0.472  1.188  0.099 -0.142 -0.223 -0.238 -0.238
 0.474  1.189  0.099 -0.141 -0.222 -0.237 -0.237
 0.476  1.190  0.100 -0.141 -0.222 -0.237 -0.237
 0.478  1.191  0.101 -0.140 -0.221 -0.236 -0.236
 0.480  1.192  0.102 -0.140 -0.221 -0.236 -0.236
 0.482  1.192  0.103 -0.140 -0.220 -0.236 -0.236
 0.484  1.193  0.103 -0.139 -0.220 -0.235 -0.235
 0.486  1.194  0.104 -0.138 -0.219 -0.235 -0.235
 0.488  1.195  0.105 -0.138 -0.219 -0.234 -0.234
 0.490  1.196  0.106 -0.138 -0.218 -0.234 -0.234
 0.492  1.196  0.106 -0.137 -0.218 -0.234 -0.234
 0.494  1.198  0.107 -0.137 -0.217 -0.233 -0.233
 0.496  1.198  0.107 -0.137 -0.217 -0.233 -0.233
 0.498  1.199  0.108 -0.136 -0.216 -0.232 -0.232
 0.500  1.200  0.109 -0.136 -0.216 -0.232 -0.232
 0.502  1.201  0.109 -0.136 -0.215 -0.232 -0.232
 0.504  1.202  0.110 -0.135 -0.215 -0.232 -0.232
 0.506  1.203  0.110 -0.135 -0.214 -0.231 -0.231
 0.508  1.204  0.111 -0.135 -0.214 -0.231 -0.231
 0.510  1.205  0.112 -0.134 -0.213 -0.230 -0.230
 0.512  1.205  0.112 -0.134 -0.213 -0.230 -0.230
 0.514  1.206  0.113 -0.134 -0.213 -0.230 -0.230
 0.516  1.207  0.113 -0.133 -0.212 -0.230 -0.230
 0.518  1.208  0.114 -0.133 -0.212 -0.229 -0.229
 0.520  1.208  0.115 -0.133 -0.212 -0.229 -0.229
 0.522  1.209  0.115 -0.132 -0.211 -0.229 -0.229
 0.524  1.209  0.115 -0.132 -0.211 -0.228 -0.228
 0.526  1.210  0.116 -0.132 -0.210 -0.228 -0.228
 0.528  1.211  0.116 -0.131 -0.210 -0.228 -0.228
 0.530  1.211  0.117 -0.131 -0.210 -0.227 -0.227
 0.532  1.212  0.117 -0.131 -0.209 -0.227 -0.227
 0.534  1.212  0.118 -0.130 -0.209 -0.227 -0.227
 0.536  1.213  0.119 -0.130 -0.209 -0.227 -0.227
 0.538  1.213  0.119 -0.130 -0.209 -0.226 -0.226
 0.540  1.214  0.119 -0.129 -0.208 -0.226 -0.226
 0.542  1.214  0.120 -0.129 -0.208 -0.226 -0.226
 0.544  1.214  0.120 -0.128 -0.208 -0.226 -0.226
 0.546  1.215  0.121 -0.128 -0.207 -0.225 -0.225
 0.548  1.215  0.121 -0.128 -0.207 -0.225 -0.225
 0.550  1.215  0.122 -0.127 -0.207 -0.225 -0.225
 0.552  1.215  0.122 -0.127 -0.207 -0.224 -0.224
 0.554  1.215  0.123 -0.126 -0.206 -0.224 -0.224
 0.556  1.215  0.123 -0.126 -0.206 -0.224 -0.224
 0.558  1.216  0.123 -0.126 -0.206 -0.224 -0.224
 0.560  1.216  0.124 -0.125 -0.205 -0.223 -0.223
 0.562  1.216  0.125 -0.125 -0.205 -0.223 -0.223
 0.564  1.216  0.125 -0.124 -0.205 -0.223 -0.223
 0.566  1.216  0.125 -0.124 -0.204 -0.223 -0.223
 0.568  1.216  0.126 -0.123 -0.204 -0.222 -0.222
 0.570  1.216  0.126 -0.123 -0.204 -0.222 -0.222
 0.572  1.215  0.126 -0.123 -0.203 -0.222 -0.222
 0.574  1.215  0.127 -0.122 -0.203 -0.221 -0.221
 0.576  1.215  0.127 -0.122 -0.203 -0.221 -0.221
 0.578  1.215  0.128 -0.121 -0.202 -0.221 -0.221
